Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
S3Mock,com.adobe.testing.s3mock.dto,ObjectLockConfiguration,2,0,8,8,38,10,0,0,0.25,6,2,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\ObjectLockConfiguration.java,24
S3Mock,com.adobe.testing.s3mock.dto,ObjectLockEnabled,1,0,0,0,11,0,0,0,-1.0,4,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\ObjectLockEnabled.java,22
S3Mock,com.adobe.testing.s3mock.dto,ObjectLockRule,1,0,6,6,30,8,0,0,0.3333333333333333,3,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\ObjectLockRule.java,23
S3Mock,com.adobe.testing.s3mock.dto,Owner,3,1,8,8,42,10,1,0,0.25,20,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\Owner.java,26
S3Mock,com.adobe.testing.s3mock.dto,Part,2,0,6,6,34,8,0,1,0.0,2,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\Part.java,24
S3Mock,com.adobe.testing.s3mock.dto,Prefix,1,0,1,1,6,1,0,0,0.0,0,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\Prefix.java,21
S3Mock,com.adobe.testing.s3mock.dto,Range,4,0,4,4,49,8,0,0,0.0,6,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\Range.java,25
S3Mock,com.adobe.testing.s3mock.dto,RegionSerializer,0,0,1,1,12,2,0,0,-1.0,0,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\RegionSerializer.java,26
S3Mock,com.adobe.testing.s3mock.dto,Retention,2,0,8,8,38,10,0,0,0.25,8,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\Retention.java,27
S3Mock,com.adobe.testing.s3mock.dto,S3Object,6,0,10,10,45,10,0,0,0.3,3,3,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\S3Object.java,25
S3Mock,com.adobe.testing.s3mock.dto,S3ObjectIdentifier,2,0,4,4,19,4,1,0,0.5,4,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\S3ObjectIdentifier.java,21
S3Mock,com.adobe.testing.s3mock.dto,StorageClass,1,0,0,0,11,0,0,0,-1.0,9,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\StorageClass.java,22
S3Mock,com.adobe.testing.s3mock.dto,Tag,2,0,9,9,46,11,0,0,0.2222222222222222,1,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\Tag.java,22
S3Mock,com.adobe.testing.s3mock.dto,Tagging,1,0,4,4,17,4,0,0,0.5,3,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\Tagging.java,25
S3Mock,com.adobe.testing.s3mock.dto,Transition,3,0,10,10,46,12,0,0,0.2,3,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\Transition.java,27
S3Mock,com.adobe.testing.s3mock.dto,AccessControlPolicyTest,0,0,2,0,27,2,0,0,-1.0,0,5,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\dto\AccessControlPolicyTest.java,36
S3Mock,com.adobe.testing.s3mock.dto,BucketLifecycleConfigurationTest,0,0,2,0,43,2,0,0,-1.0,0,5,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\dto\BucketLifecycleConfigurationTest.java,32
S3Mock,com.adobe.testing.s3mock.dto,CompleteMultipartUploadResultTest,0,0,1,0,6,1,0,0,-1.0,0,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\dto\CompleteMultipartUploadResultTest.java,25
S3Mock,com.adobe.testing.s3mock.dto,CompleteMultipartUploadTest,0,0,1,0,9,1,0,0,-1.0,0,2,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\dto\CompleteMultipartUploadTest.java,26
S3Mock,com.adobe.testing.s3mock.dto,CopyObjectResultTest,0,0,1,0,6,1,0,0,-1.0,0,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\dto\CopyObjectResultTest.java,25
S3Mock,com.adobe.testing.s3mock.dto,CopyPartResultTest,0,0,1,0,6,1,0,0,-1.0,0,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\dto\CopyPartResultTest.java,26
S3Mock,com.adobe.testing.s3mock.dto,CopySourceTest,3,0,4,4,26,4,0,0,0.75,0,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\dto\CopySourceTest.java,26
S3Mock,com.adobe.testing.s3mock.dto,DeleteResultTest,0,0,1,0,14,2,0,0,-1.0,0,3,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\dto\DeleteResultTest.java,25
S3Mock,com.adobe.testing.s3mock.dto,DeleteTest,0,0,1,0,13,1,0,0,-1.0,0,2,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\dto\DeleteTest.java,26
S3Mock,com.adobe.testing.s3mock.dto,DtoTestUtil,1,0,4,0,39,4,0,0,0.0,0,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\dto\DtoTestUtil.java,32
S3Mock,com.adobe.testing.s3mock.dto,ErrorResponseTest,0,0,1,0,10,1,0,0,-1.0,0,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\dto\ErrorResponseTest.java,25
S3Mock,com.adobe.testing.s3mock.dto,InitiateMultipartUploadResultTest,0,0,1,0,6,1,0,0,-1.0,0,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\dto\InitiateMultipartUploadResultTest.java,25
S3Mock,com.adobe.testing.s3mock.dto,LegalHoldTest,0,0,1,0,6,1,0,0,-1.0,0,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\dto\LegalHoldTest.java,26
S3Mock,com.adobe.testing.s3mock.dto,ListAllMyBucketsResultTest,0,0,2,0,14,3,0,0,-1.0,0,2,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\dto\ListAllMyBucketsResultTest.java,28
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResultTest,0,0,2,0,14,3,0,0,-1.0,0,3,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\dto\ListBucketResultTest.java,28
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResultV2Test,0,0,2,0,14,3,0,0,-1.0,0,3,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\dto\ListBucketResultV2Test.java,28
S3Mock,com.adobe.testing.s3mock.dto,ListMultipartUploadsResultTest,0,0,2,0,14,3,0,0,-1.0,0,2,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\dto\ListMultipartUploadsResultTest.java,29
S3Mock,com.adobe.testing.s3mock.dto,ListPartsResultTest,0,0,2,0,13,3,0,0,-1.0,0,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\dto\ListPartsResultTest.java,28
S3Mock,com.adobe.testing.s3mock.dto,LocationConstraintTest,0,0,1,0,6,1,0,0,-1.0,0,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\dto\LocationConstraintTest.java,26
S3Mock,com.adobe.testing.s3mock.dto,ObjectLockConfigurationTest,0,0,2,0,14,2,0,0,-1.0,0,5,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\dto\ObjectLockConfigurationTest.java,27
S3Mock,com.adobe.testing.s3mock.dto,RetentionTest,0,0,2,0,13,2,0,0,-1.0,0,2,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\dto\RetentionTest.java,28
S3Mock,com.adobe.testing.s3mock.dto,TaggingTest,0,0,3,0,23,3,0,0,-1.0,0,2,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\dto\TaggingTest.java,28
S3Mock,com.adobe.testing.s3mock.service,BucketService,3,0,26,22,225,48,0,0,0.15384615384615385,10,6,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\service\BucketService.java,54
S3Mock,com.adobe.testing.s3mock.service,MultipartService,4,0,12,12,212,24,0,0,0.0,5,7,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\service\MultipartService.java,49
S3Mock,com.adobe.testing.s3mock.service,ObjectService,4,0,18,17,258,41,0,0,0.16666666666666666,6,12,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\service\ObjectService.java,63
S3Mock,com.adobe.testing.s3mock.service,ServiceConfiguration,0,0,3,0,11,3,0,0,-1.0,0,6,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\service\ServiceConfiguration.java,25
S3Mock,com.adobe.testing.s3mock.service,BucketServiceTest,6,0,30,2,212,30,0,1,0.2,0,4,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\service\BucketServiceTest.java,49
S3Mock,com.adobe.testing.s3mock.service,BucketServiceTest.Param,4,0,0,0,21,0,0,0,-1.0,0,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\service\BucketServiceTest.java,338
S3Mock,com.adobe.testing.s3mock.service,MultipartServiceTest,2,0,13,0,94,13,0,1,0.0,0,3,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\service\MultipartServiceTest.java,42
S3Mock,com.adobe.testing.s3mock.service,ObjectServiceTest,2,0,18,0,121,18,0,1,0.0,0,8,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\service\ObjectServiceTest.java,55
S3Mock,com.adobe.testing.s3mock.service,ServiceTestBase,3,0,9,0,79,15,3,0,0.2222222222222222,0,6,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\service\ServiceTestBase.java,39
S3Mock,com.adobe.testing.s3mock.store,BucketMetadata,6,0,19,19,83,22,0,0,0.10526315789473684,17,2,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\store\BucketMetadata.java,27
