Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
S3Mock,com.adobe.testing.s3mock.its,MultiPartUploadIT,createRandomBytes,6,1,0,526,0,,
S3Mock,com.adobe.testing.s3mock.its,MultiPartUploadIT,readStreamIntoByteArray,12,2,1,533,0,,
S3Mock,com.adobe.testing.s3mock.its,MultiPartUploadIT,concatByteArrays,6,1,2,548,0,,
S3Mock,com.adobe.testing.s3mock.its,PlainHttpIT,setupHttpClient,3,1,0,64,0,,
S3Mock,com.adobe.testing.s3mock.its,PlainHttpIT,shutdownHttpClient,3,1,0,69,0,,
S3Mock,com.adobe.testing.s3mock.its,PlainHttpIT,putObjectReturns200,7,1,0,74,1,,
S3Mock,com.adobe.testing.s3mock.its,PlainHttpIT,putObjectEncryptedWithAbsentKeyRef,8,1,0,85,1,,
S3Mock,com.adobe.testing.s3mock.its,PlainHttpIT,listWithPrefixAndMissingSlash,7,1,0,97,1,,
S3Mock,com.adobe.testing.s3mock.its,PlainHttpIT,getObjectUsesApplicationXmlContentType,5,1,0,110,1,,
S3Mock,com.adobe.testing.s3mock.its,PlainHttpIT,listBucketsUsesApplicationXmlContentType,5,1,0,118,1,,
S3Mock,com.adobe.testing.s3mock.its,PlainHttpIT,batchDeleteUsesApplicationXmlContentType,6,1,0,126,1,,
S3Mock,com.adobe.testing.s3mock.its,PlainHttpIT,completeMultipartUsesApplicationXmlContentType,10,1,0,139,1,,
S3Mock,com.adobe.testing.s3mock.its,PlainHttpIT,putObjectWithSpecialCharactersInTheName,9,1,0,173,1,,
S3Mock,com.adobe.testing.s3mock.its,PlainHttpIT,deleteNonExistingObjectReturns204,6,1,0,193,1,,
S3Mock,com.adobe.testing.s3mock.its,PlainHttpIT,batchDeleteObjects,7,1,0,204,1,,
S3Mock,com.adobe.testing.s3mock.its,PlainHttpIT,headObjectWithUnknownContentType,12,1,0,219,1,,
S3Mock,com.adobe.testing.s3mock.its,PlainHttpIT,assertApplicationXmlContentType,4,1,1,240,0,,
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,prepareS3Client,4,1,0,86,0,com.adobe.testing.s3mock.its.S3TestBase,com.adobe.testing.s3mock.its.S3TestBase
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,defaultTestAmazonS3ClientBuilder,3,1,0,96,0,com.adobe.testing.s3mock.its.S3TestBase,com.adobe.testing.s3mock.its.S3TestBase
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,getServiceEndpoint,3,1,0,105,0,com.adobe.testing.s3mock.its.S3TestBase,com.adobe.testing.s3mock.its.S3TestBase
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,createS3ClientV2,3,1,0,109,0,com.adobe.testing.s3mock.its.S3TestBase,com.adobe.testing.s3mock.its.S3TestBase
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,cleanupFilestore,9,3,0,120,0,,
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,getHost,3,1,0,138,0,,
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,getPort,3,1,0,142,0,,
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,getHttpPort,3,1,0,146,0,,
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,ignoringInvalidSslCertificates,4,1,1,150,0,com.adobe.testing.s3mock.its.S3TestBase,com.adobe.testing.s3mock.its.S3TestBase
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,createBlindlyTrustingSslContext,27,1,0,161,0,,
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,getAcceptedIssuers,3,1,0,166,0,,
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,checkClientTrusted,2,1,2,171,0,,
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,checkClientTrusted,2,1,3,176,0,,
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,checkClientTrusted,2,1,3,182,0,,
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,checkServerTrusted,2,1,3,188,0,,
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,checkServerTrusted,2,1,3,194,0,,
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,checkServerTrusted,2,1,2,200,0,,
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,createTransferManager,12,1,0,214,0,,
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,newThread,5,1,1,218,0,,
S3Mock,com.adobe.testing.s3mock.its,S3TestBase,randomInputStream,5,1,1,233,0,,
S3Mock,com.adobe.testing.s3mock.its,TaggingResponsesV2IT,setup,3,1,0,29,0,,
S3Mock,com.adobe.testing.s3mock.its,TaggingResponsesV2IT,testGetObjectTagging,3,1,0,35,1,,
S3Mock,com.adobe.testing.s3mock.dto,BatchDeleteRequest,getObjectsToDelete,3,1,0,38,0,,
S3Mock,com.adobe.testing.s3mock.dto,BatchDeleteRequest,setObjectsToDelete,3,1,1,42,0,,
S3Mock,com.adobe.testing.s3mock.dto,BatchDeleteRequest,isQuiet,3,1,0,46,0,,
