Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
S3Mock,com.adobe.testing.s3mock.service,BucketService,BucketService,4,1,2,54,0,,
S3Mock,com.adobe.testing.s3mock.service,BucketService,isBucketEmpty,3,1,1,59,0,,
S3Mock,com.adobe.testing.s3mock.service,BucketService,doesBucketExist,3,1,1,63,0,,
S3Mock,com.adobe.testing.s3mock.service,BucketService,listBuckets,4,1,0,67,0,,
S3Mock,com.adobe.testing.s3mock.service,BucketService,getBucket,3,1,1,77,0,,
S3Mock,com.adobe.testing.s3mock.service,BucketService,createBucket,3,1,1,88,0,,
S3Mock,com.adobe.testing.s3mock.service,BucketService,deleteBucket,3,1,1,99,0,,
S3Mock,com.adobe.testing.s3mock.service,BucketService,getS3Objects,5,1,2,103,0,,
S3Mock,com.adobe.testing.s3mock.service,BucketService,listObjectsV2,36,4,7,124,0,com.adobe.testing.s3mock.service.BucketService,com.adobe.testing.s3mock.service.BucketService
S3Mock,com.adobe.testing.s3mock.service,BucketService,listObjectsV1,29,4,6,182,0,com.adobe.testing.s3mock.service.BucketService,com.adobe.testing.s3mock.service.BucketService
S3Mock,com.adobe.testing.s3mock.service,BucketService,verifyBucketExists,5,2,1,221,0,,
S3Mock,com.adobe.testing.s3mock.service,BucketService,verifyBucketNameIsAllowed,5,2,1,227,0,,
S3Mock,com.adobe.testing.s3mock.service,BucketService,verifyBucketIsEmpty,5,2,1,236,0,,
S3Mock,com.adobe.testing.s3mock.service,BucketService,verifyBucketDoesNotExist,5,2,1,242,0,,
S3Mock,com.adobe.testing.s3mock.service,BucketService,verifyMaxKeys,5,2,1,248,0,,
S3Mock,com.adobe.testing.s3mock.service,BucketService,verifyEncodingType,5,2,1,254,0,,
S3Mock,com.adobe.testing.s3mock.service,BucketService,collapseCommonPrefixes,20,6,3,261,0,,
